City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
1,dikson,94,RU,1635650805,90,73.5069,80.5464,6.19,15.08
2,albany,100,US,1635650767,97,42.6001,-73.9662,55.35,3.2
3,ucluelet,2,CA,1635650806,60,48.9329,-125.5528,39.96,6.78
4,rabo de peixe,100,PT,1635650806,94,37.8,-25.5833,69.6,15.5
5,baghdad,20,IQ,1635650654,68,33.3406,44.4009,73.31,6.91
6,mataura,100,NZ,1635650275,94,-46.1927,168.8643,44.92,11.7
7,lerwick,97,GB,1635650807,77,60.1545,-1.1494,50.0,28.61
8,santa ines,93,BR,1635650807,89,-3.6667,-45.38,75.43,4.09
9,puerto princesa,100,PH,1635650807,77,9.7392,118.7353,83.5,11.07
10,vila,100,PT,1635650808,94,42.0304,-8.1588,56.28,7.02
11,bundaberg,40,AU,1635650808,61,-24.85,152.35,82.69,21.85
12,catamarca,7,AR,1635650808,49,-28.4696,-65.7852,77.58,12.71
13,rio grande,24,BR,1635650809,88,-32.035,-52.0986,69.94,17.9
14,atuona,18,PF,1635650282,75,-9.8,-139.0333,77.99,12.91
15,inuvik,81,CA,1635650809,92,68.3499,-133.7218,16.66,8.05
16,busselton,98,AU,1635650277,61,-33.65,115.3333,69.04,6.49
17,broken hill,100,AU,1635650810,18,-31.95,141.4333,68.68,9.73
18,chokurdakh,99,RU,1635650275,98,70.6333,147.9167,-0.47,6.67
19,souillac,75,MU,1635650810,94,-20.5167,57.5167,78.37,3.44
20,ushuaia,65,AR,1635650129,82,-54.8,-68.3,37.18,5.1
21,murgab,0,TM,1635650811,61,37.4966,61.9714,48.07,11.5
22,ribeira grande,100,PT,1635650238,91,38.5167,-28.7,70.32,15.97
23,inhambane,40,MZ,1635650811,57,-23.865,35.3833,75.18,3.44
24,hithadhoo,100,MV,1635650812,78,-0.6,73.0833,82.31,22.44
25,bengkulu,100,ID,1635650812,75,-3.8004,102.2655,82.89,5.14
26,hobart,100,AU,1635650706,38,-42.8794,147.3294,62.02,11.21
27,port elizabeth,63,ZA,1635650286,91,-33.918,25.5701,59.85,5.61
28,henties bay,0,NA,1635650813,92,-22.116,14.2845,55.85,2.66
29,cayenne,75,GF,1635650813,80,4.9333,-52.3333,82.09,4.0
30,provideniya,96,RU,1635650813,74,64.3833,-173.3,13.03,12.59
31,mazyr,4,BY,1635650814,86,52.0495,29.2456,39.18,9.71
32,geraldton,2,AU,1635650814,43,-28.7667,114.6,75.61,10.36
33,punta arenas,1,CL,1635650148,75,-53.15,-70.9167,41.11,5.03
34,talara,10,PE,1635650815,86,-4.5772,-81.2719,64.81,14.38
35,pisco,90,PE,1635650707,88,-13.7,-76.2167,62.65,5.75
36,rikitea,100,PF,1635650226,87,-23.1203,-134.9692,74.57,20.51
37,hermanus,78,ZA,1635650401,88,-34.4187,19.2345,59.25,8.32
38,iqaluit,99,CA,1635650059,81,63.7506,-68.5145,34.12,15.21
39,gasa,100,PS,1635650816,67,31.5,34.4667,69.78,8.99
40,butaritari,7,KI,1635650276,73,3.0707,172.7902,82.58,5.64
41,victoria,91,HK,1635650297,75,22.2855,114.1577,78.39,5.01
42,arraial do cabo,100,BR,1635650793,89,-22.9661,-42.0278,70.68,16.64
43,biak,96,ID,1635650816,65,-0.9131,122.8766,84.15,1.03
44,paragominas,100,BR,1635650817,88,-2.9667,-47.4833,74.91,3.33
45,kinsale,40,IE,1635650817,93,51.7075,-8.5306,45.77,6.91
46,kajaani,90,FI,1635650818,93,64.2273,27.7285,44.65,6.91
47,bluff,100,NZ,1635650273,67,-46.6,168.3333,49.82,25.72
48,tasiilaq,100,GL,1635650276,66,65.6145,-37.6368,23.16,4.09
49,torbay,1,CA,1635650566,74,47.6666,-52.7314,40.26,0.0
50,prince albert,75,CA,1635650818,69,53.2001,-105.7677,31.95,9.22
51,port alfred,58,ZA,1635650286,81,-33.5906,26.891,63.72,4.59
52,malakal,46,SS,1635650819,71,9.5334,31.6605,75.09,3.53
53,mackenzie,54,CA,1635650819,73,55.2999,-123.1698,28.13,1.03
54,esperance,2,AU,1635650285,40,-33.8667,121.9,74.07,4.56
55,sorland,91,NO,1635650820,91,67.667,12.6934,48.42,9.93
56,kapaa,90,US,1635650295,66,22.0752,-159.319,82.38,6.91
57,karema,95,TZ,1635650820,74,-6.8205,30.4389,73.29,3.22
58,vardo,100,NO,1635650821,66,70.3705,31.1107,40.66,9.84
59,thompson,90,CA,1635650821,93,55.7435,-97.8558,33.96,8.05
60,hilo,75,US,1635650243,65,19.7297,-155.09,78.53,4.61
61,yellowknife,20,CA,1635650133,92,62.456,-114.3525,28.42,1.01
62,tuktoyaktuk,75,CA,1635650273,93,69.4541,-133.0374,17.6,10.36
63,charleston,75,US,1635650815,83,32.7766,-79.9309,60.03,7.0
64,nantucket,100,US,1635650822,94,41.2835,-70.0995,63.97,29.28
65,luau,100,AO,1635650823,89,-10.7073,22.2247,66.16,0.76
66,coihaique,0,CL,1635650823,53,-45.5752,-72.0662,39.65,4.29
67,college,75,US,1635650824,62,64.8569,-147.8028,41.32,3.44
68,yatou,52,CN,1635650824,57,37.15,122.3833,66.52,7.76
69,joshimath,0,IN,1635650824,21,30.5667,79.5667,58.44,1.66
70,vaini,20,TO,1635650130,78,-21.2,-175.2,80.76,8.05
71,samastipur,0,IN,1635650825,58,25.85,85.7833,74.73,4.21
72,san juan,100,AR,1635650825,52,-31.5375,-68.5364,71.91,17.27
73,bad sackingen,91,DE,1635650826,93,47.5537,7.9461,52.79,3.53
74,puerto ayora,100,EC,1635650242,86,-0.7393,-90.3518,70.57,8.25
75,aksarka,3,RU,1635650826,90,66.5606,67.7975,-4.97,4.09
76,grand gaube,5,MU,1635650827,74,-20.0064,57.6608,78.39,4.0
77,ahipara,98,NZ,1635650297,71,-35.1667,173.1667,62.11,6.22
78,fortuna,11,US,1635650827,1,40.5982,-124.1573,59.47,4.74
79,machico,20,PT,1635650827,85,32.7,-16.7667,71.01,3.44
80,faanui,43,PF,1635650282,66,-16.4833,-151.75,78.94,14.63
81,avarua,73,CK,1635650271,61,-21.2078,-159.775,73.67,15.61
82,kahului,20,US,1635650691,68,20.8947,-156.47,83.46,9.22
83,banda aceh,100,ID,1635650828,86,5.5577,95.3222,78.22,8.72
84,qaanaaq,0,GL,1635650829,68,77.484,-69.3632,3.2,7.81
85,new norfolk,100,AU,1635650537,38,-42.7826,147.0587,61.66,11.36
86,castro,100,BR,1635650272,97,-24.7911,-50.0119,59.43,10.67
87,esso,93,RU,1635650829,88,55.9333,158.7,26.69,4.7
88,langarud,85,IR,1635650830,85,37.197,50.1535,56.19,3.02
89,saint george,1,US,1635650823,51,37.1041,-113.5841,63.95,5.75
90,mar del plata,75,AR,1635650830,36,-38.0023,-57.5575,62.62,12.66
91,kruisfontein,82,ZA,1635650276,90,-34.0033,24.7314,56.3,5.77
92,saint-philippe,21,RE,1635650273,78,-21.3585,55.7679,74.21,3.53
93,guaruja,100,BR,1635650831,89,-23.9931,-46.2564,76.15,9.82
94,portland,20,US,1635650671,39,45.5234,-122.6762,55.33,1.99
95,saskylakh,100,RU,1635650831,94,71.9167,114.0833,12.63,10.8
96,ancud,0,CL,1635650832,67,-41.8697,-73.8203,49.26,5.19
97,melito di porto salvo,90,IT,1635650832,94,37.9222,15.7714,63.79,5.75
98,hit,96,IQ,1635650833,44,33.6416,42.8251,73.8,4.41
99,georgetown,20,MY,1635650503,78,5.4112,100.3354,84.15,9.22
100,nagytarcsa,0,HU,1635650833,84,47.5313,19.2834,44.1,9.22
101,lavrentiya,18,RU,1635650833,79,65.5833,-171.0,12.43,8.28
102,sao filipe,100,CV,1635650276,72,14.8961,-24.4956,79.95,12.12
103,san jeronimo,100,PE,1635650834,71,-11.9472,-75.2829,54.45,2.68
104,cidreira,99,BR,1635650834,88,-30.1811,-50.2056,67.77,20.85
105,atkinson,90,US,1635650835,88,42.8384,-71.147,58.51,1.99
106,roald,40,NO,1635650835,62,62.5833,6.1333,57.25,6.91
107,westport,90,US,1635650835,94,41.1415,-73.3579,58.71,6.91
108,barrow,90,US,1635650187,86,71.2906,-156.7887,15.82,4.61
109,bara,99,NG,1635650836,36,10.3744,10.7288,75.02,1.86
110,cape town,81,ZA,1635650186,87,-33.9258,18.4232,60.12,3.31
111,jamestown,90,US,1635650092,98,42.097,-79.2353,51.08,1.01
112,pangnirtung,100,CA,1635650837,98,66.1451,-65.7125,30.38,9.08
113,palana,100,RU,1635650837,81,59.1167,159.9667,24.4,7.74
114,russell,90,US,1635650837,76,32.3502,-85.1999,55.0,5.75
115,cherskiy,100,RU,1635650293,97,68.75,161.3,2.19,6.31
116,kodiak,100,US,1635650283,84,57.79,-152.4072,46.27,32.82
117,beloha,96,MG,1635650838,75,-25.1667,45.05,67.87,7.0
118,luanda,75,AO,1635650839,83,-8.8368,13.2343,75.2,6.91
119,komsomolskiy,100,UZ,1635650839,57,40.4272,71.7189,47.12,4.61
120,alofi,100,NU,1635650290,71,-19.0595,-169.9187,77.18,18.19
121,brod,0,BA,1635650839,85,45.1375,17.9897,35.92,0.98
122,bredasdorp,49,ZA,1635650840,96,-34.5322,20.0403,56.37,4.03
123,zabid,79,YE,1635650840,69,14.1951,43.3152,82.85,7.4
124,kaitangata,100,NZ,1635650841,94,-46.2817,169.8464,47.8,18.99
125,mudgee,0,AU,1635650841,27,-32.5943,149.5871,72.5,6.87
126,newport,100,GB,1635650841,95,51.5877,-2.9984,55.94,22.77
127,pevek,100,RU,1635650274,96,69.7008,170.3133,-1.37,9.75
128,khagaria,0,IN,1635650842,55,25.5,86.4833,73.65,5.79
129,arlit,1,NE,1635650842,21,18.7369,7.3853,79.39,6.69
130,kainantu,66,PG,1635650593,42,-6.2887,145.8655,79.59,7.9
131,lebu,100,CL,1635650176,91,-37.6167,-73.65,51.39,9.8
132,zhigansk,100,RU,1635650843,86,66.7697,123.3711,7.7,27.16
133,staryy nadym,93,RU,1635650843,93,65.6118,72.6842,6.04,15.79
134,campechuela,100,CU,1635650844,84,20.2342,-77.2789,77.34,6.02
135,carnarvon,0,AU,1635650291,47,-24.8667,113.6333,78.94,14.34
136,brus,0,RS,1635650844,84,43.3836,21.0336,41.45,3.85
137,ipixuna,81,BR,1635650845,95,-1.7625,-48.8043,76.95,4.05
138,barcelos,100,PT,1635650845,99,41.5388,-8.6151,65.91,7.52
139,carolina,2,PR,1635650845,85,18.3808,-65.9574,77.72,3.96
140,fare,9,PF,1635650846,71,-16.7,-151.0167,78.04,16.02
141,bronnoysund,100,NO,1635650846,62,65.4625,12.1997,51.8,25.32
142,coacoyul,16,MX,1635650847,89,17.8058,-99.11,63.61,4.81
143,kapit,39,MY,1635650847,58,2.0167,112.9333,89.94,2.84
144,kloulklubed,100,PW,1635650848,81,7.0419,134.2556,81.1,14.94
145,burgas,75,BG,1635650848,100,42.5061,27.4678,51.91,9.22
146,el vigia,100,VE,1635650848,92,8.6219,-71.6506,74.75,2.98
147,tiksi,98,RU,1635650849,74,71.6872,128.8694,13.35,13.89
148,port hedland,0,AU,1635650849,51,-20.3167,118.5667,84.25,14.97
149,lata,100,PT,1635650849,97,40.1629,-8.3327,65.91,10.85
150,rawson,9,AR,1635650850,69,-43.3002,-65.1023,46.47,16.06
151,san quintin,73,MX,1635650850,85,30.4833,-115.95,62.53,5.68
152,sao jose da coroa grande,8,BR,1635650851,76,-8.8978,-35.1478,76.3,7.25
153,wangqing,72,CN,1635650851,48,43.3218,129.7634,56.08,3.04
154,nanakuli,1,US,1635650851,69,21.3906,-158.1547,80.55,13.8
155,kastamonu,3,TR,1635650852,83,41.5,33.6667,38.3,0.96
156,tilaran,100,CR,1635650852,96,10.4703,-84.9671,67.71,4.36
157,mao,75,ES,1635650853,94,39.8885,4.2658,70.36,8.05
158,altay,100,CN,1635650853,71,47.8667,88.1167,40.8,3.36
159,praxedis guerrero,0,MX,1635650853,24,31.3667,-106.0167,74.28,5.03
160,my tho,100,VN,1635650854,65,10.35,106.35,89.64,10.09
161,la ermita,36,MX,1635650854,56,20.4139,-101.9936,64.49,3.78
162,ratnagiri,8,IN,1635650855,64,16.9833,73.3,82.69,8.48
163,hamilton,90,US,1635650148,94,39.1834,-84.5333,53.73,1.01
164,sao joao da barra,97,BR,1635650855,92,-21.6403,-41.0511,70.83,6.69
165,khatanga,100,RU,1635650284,96,71.9667,102.5,5.41,1.97
166,pilar,16,BR,1635650711,91,-9.5972,-35.9567,75.13,2.73
167,soller,98,ES,1635650856,94,39.7662,2.7152,68.34,13.96
168,bambous virieux,75,MU,1635650294,94,-20.3428,57.7575,71.85,3.44
169,lompoc,90,US,1635650856,88,34.6391,-120.4579,59.56,4.61
170,isangel,55,VU,1635650567,75,-19.55,169.2667,78.66,2.51
171,chara,100,RU,1635650857,52,56.9064,118.2631,25.41,0.96
172,rodeo,1,US,1635650857,77,38.033,-122.2669,60.03,3.0
173,raga,99,SS,1635650858,78,8.4596,25.678,72.7,3.94
174,richards bay,7,ZA,1635650858,85,-28.783,32.0377,61.54,6.2
175,yuancheng,16,CN,1635650859,35,36.652,107.7896,49.21,5.59
176,awbari,2,LY,1635650859,34,26.5921,12.7805,65.21,3.56
177,grindavik,49,IS,1635650283,82,63.8424,-22.4338,41.9,17.76
178,lat yao,100,TH,1635650860,79,15.751,99.7893,82.58,1.34
179,kozhva,100,RU,1635650860,93,65.1073,57.0459,12.79,3.31
180,sabang,100,ID,1635650860,78,5.8933,95.3214,81.59,16.22
181,tomigusuku,20,JP,1635650861,57,26.185,127.675,80.37,13.8
182,asau,0,RO,1635650861,84,46.4333,26.4,35.76,1.92
183,korsakov,100,RU,1635650862,88,46.6328,142.7813,44.44,14.65
184,manbij,21,SY,1635650862,73,36.5281,37.9549,59.77,10.51
185,sinnamary,17,GF,1635650862,83,5.3833,-52.95,78.73,5.88
186,yelizovo,78,RU,1635650863,86,53.1873,158.3805,38.62,4.74
187,hargeysa,75,SO,1635650863,88,9.56,44.065,63.19,6.42
188,whitehorse,88,CA,1635650812,69,60.7161,-135.0538,35.31,17.0
189,parrita,100,CR,1635650864,93,9.5201,-84.3225,79.52,4.18
190,east london,16,ZA,1635650288,81,-33.0153,27.9116,61.92,4.5
191,igboho,100,NG,1635650864,77,8.8333,3.75,72.59,2.62
192,kerema,25,PG,1635650865,71,-7.9631,145.7785,84.15,8.37
193,naze,2,JP,1635650865,63,28.3667,129.4833,72.39,8.77
194,atar,100,MR,1635650866,22,20.5169,-13.0499,79.97,6.06
195,nabire,37,ID,1635650866,67,-3.3667,135.4833,86.36,5.73
196,taltal,26,CL,1635650866,81,-25.4,-70.4833,58.69,1.28
197,kalakamati,3,BW,1635650867,42,-20.5929,27.3121,69.1,5.77
198,san felipe,100,VE,1635650867,99,10.3399,-68.7425,72.39,1.14
199,buala,91,SB,1635650868,71,-8.145,159.5921,84.99,8.52
200,fort nelson,6,CA,1635650296,55,58.8053,-122.7002,29.68,3.96
201,ahvaz,100,IR,1635650707,54,31.3203,48.6693,77.92,3.69
202,comodoro rivadavia,20,AR,1635650868,93,-45.8667,-67.5,39.06,5.75
203,narsaq,32,GL,1635650869,74,60.9167,-46.05,26.82,4.9
204,mulanje,0,MW,1635650869,66,-16.0316,35.5,69.24,3.76
205,touros,95,BR,1635650869,76,-5.1989,-35.4608,79.9,13.82
206,kropotkin,0,RU,1635650870,83,45.4375,40.5756,44.2,15.5
207,ponta delgada,100,PT,1635650870,94,37.7333,-25.6667,74.5,16.64
208,old shinyanga,39,TZ,1635650871,65,-3.55,33.4,71.92,5.32
209,werneck,100,DE,1635650871,87,49.9833,10.1,52.84,4.72
210,ilhabela,98,BR,1635650679,93,-23.7781,-45.3581,69.6,10.36
211,leningradskiy,100,RU,1635650284,97,69.3833,178.4167,-0.22,6.58
212,chokwe,100,MZ,1635650872,89,-24.5333,32.9833,67.57,8.43
213,yar-sale,11,RU,1635650872,90,66.8333,70.8333,4.44,14.47
214,abu samrah,41,SY,1635650873,66,35.3029,37.1841,60.85,5.01
215,cabo san lucas,23,MX,1635650873,80,22.8909,-109.9124,77.95,11.18
216,goalpara,0,IN,1635650873,64,26.1667,90.6167,72.84,5.86
217,lodja,100,CD,1635650874,98,-3.4833,23.4333,68.14,1.32
218,camana,80,PE,1635650874,84,-16.6228,-72.7111,65.3,3.96
219,ullapool,73,GB,1635650875,86,57.8987,-5.1604,36.95,4.7
220,sibolga,100,ID,1635650875,94,1.7427,98.7792,76.23,3.11
221,heihe,0,CN,1635650875,28,50.2441,127.4902,32.58,5.37
222,tombouctou,84,ML,1635650876,25,20.0,-3.0,80.33,11.63
223,gobabis,0,NA,1635650876,22,-22.45,18.9667,67.48,4.99
224,bethel,90,US,1635650401,94,41.3712,-73.414,57.49,3.44
225,severo-kurilsk,69,RU,1635650638,82,50.6789,156.125,42.62,17.83
226,mehamn,98,NO,1635650288,79,71.0357,27.8492,36.68,14.14
227,coolum beach,67,AU,1635650877,77,-26.5333,153.1,72.1,4.0
228,umtata,0,ZA,1635650877,94,-31.5889,28.7844,52.9,3.78
229,bulawayo,8,ZW,1635650878,53,-20.15,28.5833,67.86,3.29
230,upernavik,100,GL,1635650281,71,72.7868,-56.1549,30.24,5.48
231,jacqueville,47,CI,1635650878,86,5.2052,-4.4146,78.26,8.1
232,nuuk,75,GL,1635650289,87,64.1835,-51.7216,36.21,33.38
233,kyzyl-suu,100,KG,1635650879,46,42.3414,78.0056,37.71,3.67
234,vila velha,90,BR,1635650879,100,-20.3297,-40.2925,71.55,3.44
235,parkes,0,AU,1635650880,14,-33.1333,148.1833,74.62,6.58
236,taoudenni,71,ML,1635650880,26,22.6783,-3.9836,79.79,9.62
237,sena madureira,20,BR,1635650880,66,-9.0656,-68.6569,77.02,2.75
238,san antonio,1,US,1635650787,63,29.4241,-98.4936,67.96,0.0
239,jizan,4,SA,1635650881,63,17.3333,42.6667,82.56,1.9
240,umea,90,SE,1635650881,100,63.8284,20.2597,41.92,3.44
241,tessalit,26,ML,1635650882,15,20.1986,1.0114,79.63,6.31
242,alvarado,6,MX,1635650882,65,18.7667,-95.7667,73.69,5.99
243,xichang,100,CN,1635650883,84,27.8964,102.2634,54.57,3.4
244,luderitz,21,NA,1635650883,95,-26.6481,15.1594,56.64,1.48
245,chimoio,40,MZ,1635650883,88,-19.1164,33.4833,64.26,2.35
246,ponta do sol,69,PT,1635650293,78,32.6667,-17.1,71.01,6.35
247,lenger,100,KZ,1635650884,58,42.183,69.8839,45.59,1.72
248,clifton,90,US,1635650884,92,40.8584,-74.1638,59.04,3.44
249,saldanha,95,ZA,1635650885,87,-33.0117,17.9442,57.25,8.37
250,los llanos de aridane,0,ES,1635650294,72,28.6585,-17.9182,62.35,10.36
251,borogontsy,72,RU,1635650885,85,62.6683,131.1683,7.83,6.29
252,warmbad,2,NA,1635650886,33,-28.45,18.7333,67.98,10.42
253,ostrovnoy,100,RU,1635650886,94,68.0531,39.5131,34.68,3.24
254,chitral,6,PK,1635650887,26,35.8462,71.7858,52.5,8.32
255,dakar,0,SN,1635650847,83,14.6937,-17.4441,78.93,0.0
256,butembo,96,CD,1635650887,98,0.15,29.2833,57.58,1.57
257,coquimbo,90,CL,1635650888,94,-29.9533,-71.3436,55.13,4.61
258,atambua,62,ID,1635650888,56,-9.1061,124.8925,87.03,5.73
259,dingle,96,PH,1635650888,73,10.9995,122.6711,83.93,16.44
260,pierre,75,US,1635650889,75,44.3683,-100.351,40.12,10.36
261,nikolskoye,88,RU,1635650162,94,59.7035,30.7861,42.8,6.71
262,makakilo city,1,US,1635650889,66,21.3469,-158.0858,79.12,13.8
263,aguimes,20,ES,1635650890,72,27.9054,-15.4461,63.23,12.66
264,blackwater,59,AU,1635650890,21,-23.5833,148.8833,93.69,10.13
265,san cristobal,100,VE,1635650891,99,7.7669,-72.225,66.56,0.78
266,kangaatsiaq,100,GL,1635650891,97,68.3065,-53.4641,34.83,30.96
267,igarka,99,RU,1635650891,100,67.4667,86.5833,0.16,4.27
268,negara,61,ID,1635650892,73,-8.3151,114.6025,83.77,2.01
269,peniche,94,PT,1635650892,95,39.3558,-9.3811,70.61,17.02
270,kavaratti,99,IN,1635650893,77,10.5669,72.642,81.05,5.32
271,deputatskiy,94,RU,1635650893,95,69.3,139.9,-6.14,4.54
272,ankang,100,CN,1635650893,63,32.68,109.0172,64.47,0.72
273,rock springs,1,US,1635650894,53,41.5875,-109.2029,45.84,6.91
274,uruzgan,0,AF,1635650894,17,32.8333,66.0,50.45,7.16
275,taguatinga,75,BR,1635650895,66,-12.3857,-46.5711,76.82,1.16
276,sainte-anne-des-monts,54,CA,1635650895,69,49.124,-66.4924,44.47,5.64
277,viedma,100,AR,1635650896,65,-40.8135,-62.9967,51.12,18.72
278,port hardy,20,CA,1635650896,100,50.6996,-127.4199,44.6,5.75
